"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000123131","ENSG00000123131",1.20237744168288,5.2351387561853,71.4161153735662,4.34505851075014e-09,2.59877949527966e-06
"ENSG00000111665","ENSG00000111665",2.3312862346506,2.75291641624476,71.0221188427804,4.59135913270277e-09,2.69224695810738e-06
"ENSG00000164611","ENSG00000164611",1.8794186321235,4.04986283453074,72.7753072811485,5.51249785631403e-09,3.17021631525137e-06
"ENSG00000100526","ENSG00000100526",2.76216357731017,3.09850800742214,75.5974725653514,5.67878150382349e-09,3.2042256768272e-06
"ENSG00000169607","ENSG00000169607",3.22123829722192,2.38213868919,72.7371361975666,5.98805091860627e-09,3.31616042075779e-06
"ENSG00000080986","ENSG00000080986",1.70112523675765,3.58891940342647,68.3354805637353,6.7278667880987e-09,3.61917190058674e-06
"ENSG00000167395","ENSG00000167395",-1.15054814884384,4.78111554454904,68.2847937264435,6.77724883574177e-09,3.61917190058674e-06
"ENSG00000085999","ENSG00000085999",2.85812177326438,2.21635875386308,67.9719915281854,7.09074296052126e-09,3.72015207428751e-06
"ENSG00000239672","ENSG00000239672",1.30497562372666,4.03036921031084,67.2962864241461,7.82238237468899e-09,4.03324732612197e-06
"ENSG00000126787","ENSG00000126787",4.01803099902288,3.16316858428934,81.7262242185837,8.20539097907376e-09,4.1590206310034e-06
"ENSG00000237649","ENSG00000237649",2.66973615847703,2.79463026948848,70.0969355741197,8.41916452569207e-09,4.19625191901369e-06
"ENSG00000184164","ENSG00000184164",1.07327937469643,6.24170236387215,66.584416990516,8.68172642275015e-09,4.25618079790726e-06
"ENSG00000171320","ENSG00000171320",2.74769105111004,2.18971541800823,66.3532620490562,8.98215001941004e-09,4.33243865049125e-06
"ENSG00000117724","ENSG00000117724",2.28594708892836,3.61684235671577,71.7897075920186,9.26249483549904e-09,4.39674457231109e-06
"ENSG00000142945","ENSG00000142945",2.9745649728665,3.19398522285104,74.5439335311952,1.00093045018825e-08,4.67700392388742e-06
"ENSG00000143228","ENSG00000143228",2.13520732369343,2.59281005342902,64.7144375312715,1.14605162489293e-08,5.21044489627988e-06
"ENSG00000101057","ENSG00000101057",3.51606364288066,6.10228517780441,91.3447980594826,1.15284755936163e-08,5.21044489627988e-06
"ENSG00000134955","ENSG00000134955",-1.14992122833437,5.86825881100053,64.5917176645408,1.16736267530765e-08,5.21044489627988e-06
